# Time	Temperature [K]	Pressure [Pa]
0.0141	1000.26	1.36789e+06
0.0142	1000.26	1.36789e+06
0.0143	1000.26	1.36789e+06
0.0144	1000.27	1.36789e+06
0.0145	1000.27	1.36789e+06
0.0146	1000.27	1.36789e+06
0.0147	1000.28	1.36789e+06
0.0148	1000.28	1.36789e+06
0.0149	1000.28	1.36789e+06
0.015	1000.29	1.36789e+06
0.0151	1000.29	1.36789e+06
0.0152	1000.29	1.36789e+06
0.0153	1000.3	1.36789e+06
0.0154	1000.3	1.36789e+06
0.0155	1000.3	1.36789e+06
0.0156	1000.31	1.36789e+06
0.0157	1000.31	1.36789e+06
0.0158	1000.31	1.36789e+06
0.0159	1000.32	1.36789e+06
0.016	1000.32	1.36789e+06
0.0161	1000.33	1.36789e+06
0.0162	1000.33	1.36789e+06
0.0163	1000.33	1.36789e+06
0.0164	1000.34	1.36789e+06
0.0165	1000.34	1.36789e+06
0.0166	1000.34	1.36789e+06
0.0167	1000.35	1.36789e+06
0.0168	1000.35	1.36789e+06
0.0169	1000.35	1.36789e+06
0.017	1000.36	1.36789e+06
0.0171	1000.36	1.36789e+06
0.0172	1000.37	1.36789e+06
0.0173	1000.37	1.36789e+06
0.0174	1000.37	1.36789e+06
0.0175	1000.38	1.36789e+06
0.0176	1000.38	1.36789e+06
0.0177	1000.39	1.36789e+06
0.0178	1000.39	1.36789e+06
0.0179	1000.39	1.36789e+06
0.018	1000.4	1.36789e+06
0.0181	1000.4	1.36789e+06
0.0182	1000.41	1.36789e+06
0.0183	1000.41	1.36789e+06
0.0184	1000.42	1.36789e+06
0.0185	1000.42	1.36789e+06
0.0186	1000.42	1.36789e+06
0.0187	1000.43	1.36789e+06
0.0188	1000.43	1.36789e+06
0.0189	1000.44	1.36789e+06
0.019	1000.44	1.36789e+06
0.0191	1000.45	1.36789e+06
0.0192	1000.45	1.36789e+06
0.0193	1000.46	1.36789e+06
0.0194	1000.46	1.36789e+06
0.0195	1000.46	1.36789e+06
0.0196	1000.47	1.36789e+06
0.0197	1000.47	1.36789e+06
0.0198	1000.48	1.36789e+06
0.0199	1000.48	1.36789e+06
0.02	1000.49	1.36789e+06
0.0201	1000.49	1.36789e+06
0.0202	1000.5	1.36789e+06
0.0203	1000.5	1.36789e+06
0.0204	1000.51	1.36789e+06
0.0205	1000.51	1.36789e+06
0.0206	1000.52	1.36789e+06
0.0207	1000.52	1.36789e+06
0.0208	1000.53	1.36789e+06
0.0209	1000.53	1.36789e+06
0.021	1000.54	1.36789e+06
0.0211	1000.54	1.36789e+06
0.0212	1000.55	1.36789e+06
0.0213	1000.55	1.36789e+06
0.0214	1000.56	1.36789e+06
0.0215	1000.56	1.36789e+06
0.0216	1000.57	1.36789e+06
0.0217	1000.57	1.36789e+06
0.0218	1000.58	1.36789e+06
0.0219	1000.59	1.36789e+06
0.022	1000.59	1.36789e+06
0.0221	1000.6	1.36789e+06
0.0222	1000.6	1.36789e+06
0.0223	1000.61	1.36789e+06
0.0224	1000.61	1.36789e+06
0.0225	1000.62	1.36789e+06
0.0226	1000.63	1.36789e+06
0.0227	1000.63	1.36789e+06
0.0228	1000.64	1.36789e+06
0.0229	1000.64	1.36789e+06
0.023	1000.65	1.36789e+06
0.0231	1000.66	1.36789e+06
0.0232	1000.66	1.36789e+06
0.0233	1000.67	1.36789e+06
0.0234	1000.67	1.36789e+06
0.0235	1000.68	1.36789e+06
0.0236	1000.69	1.36789e+06
0.0237	1000.69	1.36789e+06
0.0238	1000.7	1.36789e+06
0.0239	1000.7	1.36789e+06
0.024	1000.71	1.36789e+06
0.0241	1000.72	1.36789e+06
0.0242	1000.72	1.36789e+06
0.0243	1000.73	1.36789e+06
0.0244	1000.74	1.36789e+06
0.0245	1000.74	1.36789e+06
0.0246	1000.75	1.36789e+06
0.0247	1000.76	1.36789e+06
0.0248	1000.76	1.36789e+06
0.0249	1000.77	1.36789e+06
0.025	1000.78	1.36789e+06
0.0251	1000.79	1.36789e+06
0.0252	1000.79	1.36789e+06
0.0253	1000.8	1.36789e+06
0.0254	1000.81	1.36789e+06
0.0255	1000.81	1.36789e+06
0.0256	1000.82	1.36789e+06
0.0257	1000.83	1.36789e+06
0.0258	1000.84	1.36789e+06
0.0259	1000.84	1.36789e+06
0.026	1000.85	1.36789e+06
0.0261	1000.86	1.36789e+06
0.0262	1000.87	1.36789e+06
0.0263	1000.87	1.36789e+06
0.0264	1000.88	1.36789e+06
0.0265	1000.89	1.36789e+06
0.0266	1000.9	1.36789e+06
0.0267	1000.9	1.36789e+06
0.0268	1000.91	1.36789e+06
0.0269	1000.92	1.36789e+06
0.027	1000.93	1.36789e+06
0.0271	1000.94	1.36789e+06
0.0272	1000.95	1.36789e+06
0.0273	1000.95	1.36789e+06
0.0274	1000.96	1.36789e+06
0.0275	1000.97	1.36789e+06
0.0276	1000.98	1.36789e+06
0.0277	1000.99	1.36789e+06
0.0278	1001	1.36789e+06
0.0279	1001	1.36789e+06
0.028	1001.01	1.36789e+06
0.0281	1001.02	1.36789e+06
0.0282	1001.03	1.36789e+06
0.0283	1001.04	1.36789e+06
0.0284	1001.05	1.36789e+06
0.0285	1001.06	1.36789e+06
0.0286	1001.07	1.36789e+06
0.0287	1001.08	1.36789e+06
0.0288	1001.09	1.36789e+06
0.0289	1001.1	1.36789e+06
0.029	1001.11	1.36789e+06
0.0291	1001.11	1.36789e+06
0.0292	1001.12	1.36789e+06
0.0293	1001.13	1.36789e+06
0.0294	1001.14	1.36789e+06
0.0295	1001.15	1.36789e+06
0.0296	1001.16	1.36789e+06
0.0297	1001.17	1.36789e+06
0.0298	1001.18	1.36789e+06
0.0299	1001.19	1.36789e+06
0.03	1001.2	1.36789e+06
0.0301	1001.21	1.36789e+06
0.0302	1001.23	1.36789e+06
0.0303	1001.24	1.36789e+06
0.0304	1001.25	1.36789e+06
0.0305	1001.26	1.36789e+06
0.0306	1001.27	1.36789e+06
0.0307	1001.28	1.36789e+06
0.0308	1001.29	1.36789e+06
